label,PC,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b11/b7,b11/b9,b7/b6,b12-b6,b12/b6,0.01*b12/b8,(b12-b2)/b8,b9/b8
1,3.6644286,0.0059127,0.0051586,0.0076584,0.011417,0.0138391,0.0233811,0.0216501,0.0174674,0.0158696,0.01604,0.0196494,0.0100245,0.0105516,0.0100497,0.0065749,0.0056431,0.0035625,0.907589,1.2381806,0.925965,-0.0133566,0.4287444,0.005739,0.2785736,0.9085248
1,4.3989888,0.0046777,0.00454,0.0067205,0.0111816,0.0138462,0.023214,0.0203214,0.016299,0.0148742,0.0149615,0.0166248,0.0061716,0.0065091,0.0060928,0.0028049,0.0021869,-0.0000742,0.8180919,1.1176964,0.8753943,-0.0170424,0.2658575,0.0037865,0.100103,0.912581
1,4.54642,0.0041864,0.0033813,0.0059772,0.0102154,0.012939,0.0223818,0.0189694,0.0152073,0.0137411,0.0135944,0.0150636,0.0046179,0.0051497,0.0046836,0.0016905,0.000896,-0.000825,0.7940984,1.0962443,0.8475364,-0.017764,0.206323,0.0030366,0.081316,0.9035865
1,4.665622,0.0056776,0.0053412,0.0075505,0.0121381,0.0150636,0.0252485,0.0210028,0.0166495,0.0151549,0.0150576,0.0165166,0.0068391,0.0072739,0.006801,0.0041408,0.0034986,0.0021894,0.7864005,1.0898545,0.8318434,-0.0184094,0.2708707,0.0041077,0.0899674,0.910234
1,4.82729,0.0076376,0.0076937,0.0099921,0.0140223,0.0165106,0.0263074,0.0225829,0.0183639,0.0170315,0.0170074,0.0187179,0.0118928,0.0126756,0.0118315,0.0099051,0.009379,0.008669,0.8288531,1.0990173,0.8584235,-0.0144146,0.4520695,0.0064762,0.2286616,0.9274445
1,5.1437623,0.007749,0.0091931,0.0130372,0.0193802,0.0220697,0.0301658,0.028614,0.024617,0.0231968,0.0234594,0.0255494,0.0118911,0.0126897,0.0115531,0.0057482,0.0042229,-0.000127,0.892898,1.1014165,0.9485591,-0.0182747,0.3941914,0.0048304,0.1095976,0.9423091
1,5.3374943,0.0058111,0.0054283,0.0080356,0.0127576,0.0152224,0.0247626,0.0224122,0.0186099,0.0174029,0.0173767,0.0174569,0.0065645,0.0068444,0.0066576,0.0032078,0.002489,0.000661,0.7789006,1.0030988,0.905081,-0.0181982,0.2650951,0.0035274,0.0610519,0.9351454
1,5.670375,0.0079376,0.0097395,0.01377,0.0203192,0.0232125,0.0299673,0.0275192,0.0235199,0.0223995,0.0225049,0.0203632,0.0073766,0.0080608,0.0071247,0.0026066,0.0015721,-0.0011432,0.7399625,0.9090931,0.9183074,-0.0225907,0.2461557,0.0031363,-0.1004622,0.9523606
1,5.7218876,0.0089544,0.011025,0.0146744,0.0217107,0.0243072,0.031421,0.0294627,0.025198,0.0244296,0.0245663,0.0227202,0.0090822,0.0096337,0.008709,0.0035402,0.0022405,-0.00102,0.771151,0.930027,0.9376732,-0.0223388,0.2890478,0.0036043,-0.0771012,0.9695028
1,5.7218876,0.0056547,0.0075683,0.0116848,0.0185005,0.02145,0.0278289,0.0252426,0.0207393,0.0199737,0.0198048,0.0172779,0.0055686,0.0061394,0.0051087,0.0014025,0.000611,-0.000979,0.6844721,0.8650312,0.9070662,-0.0222602,0.2001029,0.0026851,-0.0964193,0.9630848
1,5.9507631,0.004933,0.0064939,0.0104368,0.0174245,0.0202891,0.0271031,0.0241406,0.0193955,0.0182002,0.0184918,0.0165755,0.0046498,0.0052877,0.0042853,0.000744,-0.000116,-0.00236,0.6866224,0.9107287,0.8906942,-0.0224533,0.1715586,0.0023973,-0.0950821,0.9383739
1,6.349236,0.0064316,0.0079618,0.0120384,0.018504,0.0212945,0.0280556,0.0260903,0.0220611,0.0210557,0.021167,0.0198904,0.00698,0.0076155,0.0068533,0.0027244,0.0017698,-0.00103,0.7623694,0.9446574,0.9299505,-0.0210756,0.2487918,0.0031639,-0.0445024,0.9544286
1,6.3733158,0.0047325,0.0040722,0.0055281,0.0091689,0.011934,0.0216169,0.0171373,0.0122512,0.0106545,0.010893,0.0140717,0.0058478,0.0064599,0.0058035,0.0035323,0.0029558,0.0016359,0.8211163,1.32073,0.7927741,-0.0157691,0.270519,0.0047732,0.1449336,0.8696706
1,6.80445,0.0077882,0.0091892,0.0134001,0.0199283,0.0225359,0.0296147,0.0268555,0.022957,0.0218954,0.0218881,0.0204516,0.0078319,0.0083643,0.0074674,0.003284,0.0022387,-0.000276,0.7615412,0.9340593,0.9068319,-0.0217827,0.264461,0.0034116,-0.0591209,0.9537569
1,6.811771,0.0061487,0.0077742,0.011446,0.0177073,0.0208542,0.0285134,0.0258167,0.021268,0.0197934,0.0200333,0.0207604,0.007755,0.0083796,0.0074966,0.0031239,0.0022013,-0.000836,0.804146,1.0488522,0.9054222,-0.0207585,0.2719763,0.0036463,-0.0009023,0.9306686
1,7.1801987,0.0049881,0.0046102,0.0065632,0.0107404,0.0136138,0.0234977,0.01972,0.0152627,0.0135669,0.0136352,0.0155955,0.0067519,0.00719,0.006706,0.0041616,0.0036618,0.0024954,0.7908455,1.1495244,0.8392286,-0.0167458,0.287344,0.0044238,0.1403266,0.8888898
1,7.2238831,0.0089323,0.0104938,0.0142288,0.0206857,0.0234686,0.0311355,0.0292903,0.0253071,0.0243704,0.0244343,0.0242641,0.0103704,0.0111463,0.0100109,0.0044477,0.0029874,-0.000928,0.8284026,0.995639,0.9407361,-0.0207651,0.3330722,0.0040978,-0.0048776,0.9629877
1,7.2464,0.0046598,0.0045468,0.0063335,0.0101132,0.01262,0.0218286,0.0169549,0.0126033,0.0112918,0.0113838,0.0117323,0.0050831,0.0055687,0.0049951,0.0033547,0.0029918,0.0022408,0.6919719,1.0390159,0.7767276,-0.0167456,0.2328618,0.0040331,0.0425516,0.8959341
1,7.4384539,0.0086879,0.0106296,0.0146323,0.0213613,0.0242061,0.03122,0.0294468,0.0251761,0.023932,0.0242513,0.0227573,0.0091732,0.0097714,0.008827,0.0037512,0.0024909,-0.00113,0.7728282,0.950914,0.9432029,-0.0220468,0.2938238,0.0036436,-0.057849,0.9505871
1,7.5615456,0.0035672,0.0026913,0.0057338,0.0098648,0.0121623,0.0214657,0.0192483,0.0153312,0.0137815,0.0140247,0.016296,0.0059642,0.0061732,0.0059182,0.0026442,0.0018694,-0.000331,0.8466221,1.1824592,0.8966989,-0.0155015,0.2778468,0.0038902,0.2134813,0.8989174
1,7.7786,0.0071895,0.0075952,0.0100566,0.0147139,0.0173078,0.0263518,0.0253523,0.0221487,0.0207834,0.0207944,0.0222788,0.0109804,0.0112086,0.0110947,0.0064207,0.0053092,0.0018586,0.8787679,1.0719506,0.9620729,-0.0153714,0.4166833,0.0049576,0.1528364,0.9383607
1,7.7989654,0.0048129,0.0041267,0.0064008,0.0098757,0.0122297,0.0207669,0.0169738,0.0128135,0.0115069,0.0116052,0.0119613,0.0043891,0.0049381,0.0042591,0.0022972,0.001873,0.0010729,0.7046928,1.0394893,0.8173482,-0.0163778,0.2113518,0.0034254,0.0204841,0.8980327
1,8.1854782,0.0083691,0.0092102,0.0130078,0.0198133,0.0225129,0.0300926,0.0272798,0.0229044,0.0218293,0.0217503,0.0230702,0.0095314,0.010188,0.0093003,0.0041489,0.0030054,-0.000588,0.8456856,1.0568426,0.9065305,-0.0205612,0.3167358,0.0041614,0.0140216,0.9530631
1,8.5881408,0.0086024,0.0102023,0.0143248,0.0212684,0.0240012,0.0306302,0.0283464,0.0241859,0.0234589,0.0235925,0.0215946,0.0083811,0.0088907,0.0080966,0.0031216,0.0019414,-0.0012113,0.7618126,0.9205319,0.9254381,-0.0222492,0.2736209,0.0034653,-0.075303,0.9699382
1,9.7274,0.0091005,0.0090759,0.0116365,0.016172,0.0186036,0.027784,0.0267251,0.0236994,0.0224855,0.0227209,0.023328,0.0116704,0.0120009,0.0116166,0.00691,0.0058411,0.0019862,0.8728889,1.0374699,0.9618854,-0.0161137,0.4200379,0.0049243,0.1094729,0.9487774
1,9.9179386,0.0075046,0.0091048,0.0127815,0.0196541,0.0220237,0.0291203,0.0266768,0.0232748,0.0223897,0.0223092,0.0222964,0.0094767,0.0101232,0.0091877,0.0043563,0.003209,-0.0000663,0.8357982,0.995831,0.9160894,-0.0196436,0.3254333,0.0040717,0.01598,0.9619756
1,10.4617416,0.0028748,0.0020735,0.0043,0.0078954,0.0104327,0.0201112,0.0168224,0.0119763,0.010251,0.0105423,0.015039,0.0052336,0.0053969,0.005271,0.0022311,0.0016421,0.000368,0.8939864,1.4670848,0.8364704,-0.0148777,0.2602311,0.0043699,0.2638576,0.8559362
1,10.56,0.0045229,0.0057858,0.0069596,0.0099319,0.0119896,0.0180596,0.0167409,0.0134901,0.0127809,0.0126414,0.0118339,0.0087531,0.0096604,0.008179,0.0062316,0.0055794,0.0080518,0.7068853,0.9259002,0.9269768,-0.0093065,0.4846769,0.0064885,0.2199574,0.9474297
1,12.3,0.0035875,0.0035687,0.0060293,0.0098765,0.0121958,0.0198077,0.0170038,0.0129011,0.0122003,0.0121388,0.0125707,0.0133643,0.0149821,0.0127145,0.0105055,0.0099229,0.0139555,0.7392898,1.0303652,0.8584455,-0.0064433,0.6747042,0.010359,0.759286,0.9456733
1,13.1829214,0.0020279,0.0023092,0.0050712,0.0101289,0.0128753,0.0212166,0.0160112,0.0119647,0.010393,0.0107761,0.0155531,0.0047546,0.0052633,0.0045265,0.0015078,0.000766,-0.000585,0.9713882,1.4964976,0.7546517,-0.016462,0.2240987,0.0039739,0.204386,0.8686375
1,13.4362667,0.004881,0.0039914,0.0058078,0.009349,0.0122799,0.0217735,0.0180351,0.0130773,0.0113229,0.0116323,0.0155403,0.006597,0.0069067,0.0065716,0.0038223,0.0032544,0.0017796,0.8616738,1.3724703,0.8283042,-0.0151765,0.3029818,0.0050446,0.1992436,0.8658457
1,13.7102382,0.0022251,0.0037371,0.0062152,0.012653,0.0166535,0.0268098,0.0217241,0.0161362,0.014225,0.0146641,0.0220885,0.008007,0.0085933,0.0076145,0.0026454,0.0015012,-0.000464,1.0167744,1.5528002,0.8103041,-0.0188029,0.2986576,0.0049621,0.2646131,0.8815536
1,13.8420674,0.0080859,0.0094184,0.0136785,0.020382,0.0233299,0.0303771,0.0280466,0.0243101,0.0234671,0.0232919,0.0227655,0.0097649,0.0102174,0.0092237,0.0039925,0.0026064,-0.000416,0.8117038,0.970103,0.9232805,-0.0206122,0.3214569,0.0040168,0.0142555,0.9653258
1,15.96,0.0025715,0.0041139,0.005614,0.0086289,0.0105723,0.0164022,0.0161563,0.0132046,0.0123252,0.0123219,0.0120047,0.0058006,0.006635,0.0053594,0.002616,0.0018542,0.0016808,0.7430379,0.9739973,0.9850039,-0.0106016,0.3536462,0.0043928,0.1277314,0.9333983
