,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49
18-Jul,24.710804,23.328629,53.766796,81.62751,33.86947,25.621353,66.44506,165.44781,58.403053,32.622746,56.732414,63.985607,76.70041,68.32141,37.50994,24.93975,94.92896,61.13399,25.771864,84.80906,29.098114,88.483826,55.77787,21.485596,27.528505,35.53974,29.076906,130.38103,55.583008,177.0005,18.927097,14.4878025,82.54405,23.518574,84.73952,56.96892,91.34641,0,83.70454,18.466064,48.522007,26.36293,39.47721,146.56248,67.21357,0,82.1279,22.235155,66.36964,23.038834
18-Aug,19.904358,19.077456,32.931812,90.77976,16.82909,16.20185,73.49411,72.380516,41.089054,39.94505,44.777016,115.868004,121.32568,23.755045,24.621008,34.93468,41.78756,85.84272,37.585648,86.725136,32.116276,110.97936,36.286404,20.456707,63.95688,63.13071,29.717705,115.85609,76.66155,154.46672,25.560465,11.759421,62.710983,43.147896,55.931503,113.35718,80.544716,0,56.830437,38.71215,42.964622,19.728285,56.193195,93.52944,79.1993,53.804688,68.50192,27.77131,59.348385,25.852352
18-Sep,17.775763,34.311012,67.934586,54.12185,30.90393,38.472233,43.740868,61.77201,69.48507,29.530516,35.905014,49.831203,50.43447,57.34208,37.203186,33.72778,25.174019,41.881813,10.693532,50.5551,26.777729,60.556564,40.936222,24.131487,46.81136,9.11492,32.330727,183.20218,53.915104,187.0665,25.149002,31.745087,87.64678,32.03063,47.394814,57.71212,88.580826,0,38.699383,43.416115,32.580154,21.49347,31.225357,95.27023,42.46062,69.70946,80.76579,16.176832,68.735306,29.435102
18-Oct,19.455078,24.284632,40.508705,26.502172,21.502594,23.512642,37.18102,32.871605,62.0648,26.63896,31.03202,26.555841,37.643047,27.66387,28.75764,14.842585,40.32246,58.155125,15.344681,46.16162,52.12708,35.60623,48.098263,27.883484,62.47288,27.993786,25.870893,241.01408,44.892403,199.1113,21.570274,14.905326,72.40295,23.193941,31.16441,37.05368,32.40619,0,33.738697,40.639324,37.93784,16.28691,42.274174,74.67971,35.82707,61.805573,96.01265,24.357746,55.1008,25.098244
18-Nov,32.98229,38.856915,34.60294,31.62005,26.827497,40.132393,45.56832,37.805775,75.52038,39.079838,53.601562,55.46755,48.307083,0,36.775475,36.459377,84.41761,60.302322,47.973236,53.4367,91.669365,54.704056,73.69326,59.114796,56.038776,60.044403,27.229351,148.63606,67.23549,143.12657,30.666079,45.615276,74.201614,49.209652,37.475677,44.19022,75.54838,0,33.93475,100.9409,64.99003,85.44995,50.59297,63.573795,42.464207,82.91329,47.3285,38.24696,39.71722,69.06664
19-May,59.860386,37.96201,112.43113,33.10696,68.07038,62.824272,50.167374,81.91552,39.129795,29.72771,66.76284,96.21886,49.047096,51.35474,60.175198,39.641445,38.16706,78.03451,24.401676,53.678932,69.08344,66.1662,55.613686,28.90784,48.841663,71.939674,37.455467,50.23221,33.962425,230.10426,24.231037,29.872026,72.18905,58.02434,52.0193,49.688934,34.38758,45.515102,47.314545,31.00485,39.492203,26.045177,40.652573,178.70816,55.91122,55.788265,119.03503,24.829542,84.93075,39.947132
19-Jun,39.94026,32.096645,113.116135,30.83178,55.515755,45.87609,87.97218,73.54669,70.71258,38.938244,47.49536,124.003395,50.529774,56.425686,67.9909,52.45849,20.878717,94.62097,23.376957,107.381454,63.272873,91.2712,60.484936,16.449623,24.968164,55.379044,35.407898,100.76638,44.90463,206.45145,28.197515,53.03835,80.91343,34.771877,30.196842,54.308483,59.59767,0,31.727877,39.240726,49.75523,24.633364,40.622726,150.33533,95.53903,42.897648,124.03435,33.2734,32.31105,25.706064
19-Jul,25.738508,22.792252,43.3776,49.76602,40.728252,21.474318,102.590324,37.03125,87.180176,50.821568,47.68104,132.61673,28.360146,63.355106,51.723423,32.823906,46.03985,63.418495,26.19011,48.418945,33.373665,70.62246,61.39697,20.87559,21.562525,57.11608,28.102055,93.27782,37.28589,152.9259,26.98824,33.977654,83.78709,23.606379,17.087383,41.440235,55.695282,0,71.53628,56.58069,46.3026,36.600716,31.902052,148.30592,34.474056,28.370039,82.219376,28.6047,21.024378,21.817053
19-Aug,24.168049,20.742445,41.596165,79.9987,55.308125,22.453583,70.4859,56.093437,37.591217,39.74004,39.557068,54.522865,31.814014,39.23155,53.115765,26.75436,81.8406,58.8373,92.32456,42.9378,26.89838,46.331158,45.75319,34.39266,33.438435,75.75615,36.701023,73.154076,36.15135,156.1666,24.891768,36.818336,63.73887,17.18989,64.887215,58.765606,56.748898,0,39.69905,44.118694,33.345024,25.064625,42.38393,208.01637,24.396355,26.791222,85.19959,26.984324,37.612377,31.433765
19-Sep,77.48647,21.740528,45.394066,49.62031,114.550606,27.540266,40.766846,58.020515,53.893024,28.01777,30.0792,42.870647,37.09014,59.862637,48.76929,30.16996,18.147982,36.248703,18.208445,55.9024,27.734415,69.91414,43.719128,28.61284,23.980968,46.96476,32.753,37.677376,25.423483,142.77853,29.691368,36.323742,52.87507,43.47813,29.663317,46.811802,47.265553,0,41.81339,32.935383,42.521828,17.852541,38.040653,260.7719,20.623615,27.440264,85.01267,21.339241,32.515095,26.585127
